chrom	bin.left.bound	bin.center	cov.pop	cov.bg	cov.substracted	n.pairs
1	8.6	8.65	-6955.724605643013	-900.3900757363451	-6055.334530032256	13070349.0
1	8.700000000000001	8.750000000000002	-12698.30807430119	-1584.9922203453132	-11113.31585427323	13094191.0
1	8.8	8.850000000000001	-12602.376749385727	-2445.8563268609078	-10156.52042246643	13019391.0
1	8.9	8.950000000000001	-6017.137437279848	3829.3764343914027	-9846.51387160922	13013904.0
1	9.0	9.05	-8928.009212680001	-4501.621180571456	-4426.388032050563	12957918.0
1	9.1	9.15	-11731.59821794106	-1092.8138884860089	-10638.784329430771	12986117.0
1	9.200000000000001	9.250000000000002	-8288.384237537535	2522.2838124302	-10810.668049897771	12951587.0
1	9.3	9.350000000000001	-9649.513955653269	-1060.2489979031704	-8589.264957651189	12883886.0
1	9.4	9.450000000000001	-17806.77377562631	-943.5486083764847	-16863.225167299264	12837878.0
1	9.5	9.55	-9987.582439833259	-161.2583954800001	-9826.32404428152	12831868.0
1	9.600000000000001	9.650000000000002	-14993.134112776075	-2045.504324108154	-12947.629788624088	12778560.0
1	9.700000000000001	9.750000000000002	-1736.9065702024257	5381.582144667327	-7118.488714803707	12776508.0
1	9.8	9.850000000000001	8154.920557731491	5178.187008458906	2976.733549355957	12737001.0
1	9.9	9.950000000000001	-4612.931678749768	425.4752740309269	-5038.406952675871	12692742.0
1	10.0	10.05	-979.5389721707002	-3115.818211191332	2136.279239114686	12647307.0
1	10.100000000000001	10.150000000000002	1011.9492824403573	2908.7072357708926	-1896.7579532695422	12630781.0
1	10.200000000000001	10.250000000000002	3707.2817526157723	-2257.265564127482	5964.547316827165	12565078.0
1	10.3	10.350000000000001	1811.0543852218987	-2871.8536973172554	4682.908082613454	12565602.0
1	10.4	10.450000000000001	-4905.1913463182345	-1236.722117759932	-3668.469228533977	12521438.0
1	10.5	10.55	1549.404298128932	1640.2567682514425	-90.85247010035151	12494396.0
1	10.600000000000001	10.650000000000002	-469.53612742814863	273.56994647298836	-743.1060738145851	12430009.0
1	10.700000000000001	10.750000000000002	2592.924585007215	1466.7333206586945	1126.191264400417	12402300.0
1	10.8	10.850000000000001	-8701.771396956945	307.8068136544445	-9009.578210508396	12402551.0
1	10.9	10.950000000000001	-129.14594059398826	994.3295996085286	-1123.4755401379773	12403970.0
1	11.0	11.05	4358.31627881279	-326.33040751194494	4684.646686388059	12343412.0
1	11.100000000000001	11.150000000000002	-2453.524417553679	3832.337082259512	-6285.8614997084505	12307891.0
1	11.200000000000001	11.250000000000002	2741.7177807579765	-287.3179597198885	3029.035740510692	12268102.0
1	11.3	11.350000000000001	8970.048229840131	-221.6767128344088	9191.724942709809	12216787.0
1	11.4	11.450000000000001	10529.57063998305	-4555.488326859307	15085.058966921786	12205372.0
1	11.5	11.55	9837.394984922139	-232.7069835751597	10070.101968610123	12168590.0
1	11.600000000000001	11.650000000000002	-511.7853896368918	-1861.8382883120355	1350.0528986790785	12096663.0
1	11.700000000000001	11.750000000000002	22351.945176072248	1065.0901916697344	21286.85498419348	12082282.0
1	11.8	11.850000000000001	37213.61799708163	-114.20137142034712	37327.819368183664	12061344.0
1	11.9	11.950000000000001	22595.794720626745	2162.5369076776296	20433.25781275553	12018351.0
1	12.0	12.05	22847.414600247223	5704.879039744779	17142.535560330634	11960723.0
1	12.100000000000001	12.150000000000002	20668.1028824234	5264.121922303099	15403.98096002432	11931946.0
1	12.200000000000001	12.250000000000002	20298.151708404668	2955.2822189438343	17342.86948913895	11888738.0
1	12.3	12.350000000000001	25039.67439523692	-233.50783618557355	25273.182231152074	11844049.0
1	12.4	12.450000000000001	19905.07278063446	4961.359471622001	14943.71330874007	11832198.0
1	12.5	12.55	19896.396581610148	4071.834106376761	15824.56247516936	11813154.0
1	12.600000000000001	12.650000000000002	27721.686968106114	3906.1312059924535	23815.555761815704	11793910.0
1	12.700000000000001	12.750000000000002	22976.367997101737	1208.3780713924866	21767.98992544322	11784171.0
1	12.8	12.850000000000001	12389.337287178441	1640.0564592770932	10749.280827935689	11710285.0
1	12.9	12.950000000000001	16266.106454960343	-3421.30277948435	19687.409234478444	11656054.0
1	13.0	13.05	13507.058973145286	-205.60046963680537	13712.659442826527	11608193.0
1	13.100000000000001	13.150000000000002	14008.191592346273	260.8952653568223	13747.296327016882	11583925.0
1	13.200000000000001	13.250000000000002	4194.637521222207	1447.1002249827645	2747.537296315151	11567643.0
1	13.3	13.350000000000001	3164.745765209804	474.1454311746046	2690.6003341174255	11513595.0
1	13.4	13.450000000000001	3859.4652662303106	4142.209613152828	-282.74434684470293	11486129.0
1	13.5	13.55	7898.89176996317	2935.7712730944004	4963.120496950011	11430930.0
1	13.600000000000001	13.650000000000002	9110.586740541934	-3196.276715445604	12306.863456050925	11441841.0
1	13.700000000000001	13.750000000000002	7286.8100793558	109.66320277862604	7177.146876682755	11415890.0
1	13.8	13.850000000000001	3058.352062760396	478.5845321198052	2579.767530714484	11384535.0
1	13.9	13.950000000000001	9295.39311080095	-2653.4469097191504	11948.84002059155	11339042.0
1	14.0	14.05	6821.940963476174	401.181195256846	6420.759768317868	11315881.0
1	14.100000000000001	14.150000000000002	3665.3533377561102	-1332.3893272294663	4997.742665058676	11276900.0
